x,y
1,54
3,24
3,31
4,2
5,29
6,43
6,56
8,17
10,12
10,57
12,28
13,23
13,57
14,1
14,52
14,57
15,4
16,22
16,31
17,9
17,30
17,52
18,48
20,23
21,57
22,45
23,19
23,23
24,46
24,46
25,55
26,7
26,42
28,29
28,35
30,53
31,45
31,57
31,58
32,9
32,20
33,38
34,25
36,26
36,56
37,26
37,38
38,13
40,45
42,34
43,18
43,56
44,12
44,43
45,6
47,14
47,49
48,0
49,27
49,43
51,20
52,0
52,12
53,4
53,31
54,43
55,52
59,22
59,31
60,25
61,14
61,47
61,52
62,14
62,60
64,33
64,46
68,54
68,57
69,35
69,41
70,36
71,49
73,15
73,34
74,5
74,53
76,11
76,47
78,19
79,56
80,3
80,45
82,21
84,54
84,57
86,32
87,46
89,36
90,47
