x,y
14,57
68,54
69,41
32,9
8,17
80,45
13,23
61,14
31,58
68,57
80,3
17,30
24,46
45,6
30,53
89,36
74,53
10,57
64,33
90,47
22,45
12,28
60,25
20,23
16,22
59,31
5,29
62,60
53,4
24,46
74,5
15,4
3,31
25,55
61,47
52,0
48,0
6,43
54,43
36,26
51,20
49,43
49,27
16,31
43,18
10,12
76,11
23,19
38,13
79,56
59,22
32,20
37,26
62,14
13,57
42,34
37,38
14,1
28,29
36,56
84,57
17,52
17,9
47,49
3,24
31,57
26,7
76,47
64,46
47,14
84,54
23,23
40,45
70,36
69,35
33,38
82,21
52,12
28,35
78,19
18,48
1,54
6,56
61,52
71,49
86,32
53,31
34,25
44,12
55,52
87,46
43,56
14,52
21,57
44,43
26,42
73,34
31,45
73,15
4,2
